Filesystem Type Size Used Avail Use% Mounted on
/dev/mapper/VolGroup00-lv_var xfs 20G 1.2G 19G 6% /var
/dev/dm-20 xfs 10G 86M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/302054c6a4afd198456f3987b3c1d91bb682c11082a304c5043343fe15f6f43f
/dev/dm-21 xfs 10G 82M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/d2a4e7c437f7cdaaaae7e4cd423e19aa7ad0ff675f65bb439046a093f8169632
/dev/dm-22 xfs 10G 73M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/dc127ad2861f3fac279d501afe00c18a41c344341812101c5dec8da1d2ec249a
/dev/dm-23 xfs 10G 74M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/b5a463028764b620101dadea9bf678ba98ae64ae55a461dbb773d416b910201e
tmpfs tmpfs 3.9G 12K 3.9G 1% /var/lib/kubelet/pods/ae6e38e2-6501-11e8-b3b3-080027c88a00/volumes/kubernetes.io~secret/default-token-ck4th
tmpfs tmpfs 3.9G 12K 3.9G 1% /var/lib/kubelet/pods/ae865542-6501-11e8-b3b3-080027c88a00/volumes/kubernetes.io~secret/default-token-ck4th
/dev/dm-24 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/a9f57f3094511dc69562e7925dbc8781d4f264d6f294f38ed29aa7fd13194c15
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/0b482ffd3f001fb1de4f3c040703d6367cb2831851e6eaa9ec7b31905813d7db/mounts/shm
tmpfs tmpfs 3.9G 0 3.9G 0% /var/lib/kubelet/pods/aee5024d-6501-11e8-b3b3-080027c88a00/volumes/kubernetes.io~secret/kubernetes-dashboard-certs
tmpfs tmpfs 3.9G 12K 3.9G 1% /var/lib/kubelet/pods/aee5024d-6501-11e8-b3b3-080027c88a00/volumes/kubernetes.io~secret/kubernetes-dashboard-token-9zsb9
/dev/dm-25 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/2cd21119edf20f1a60e965883c916bdcefc416487e723eead25434d5be2683d2
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/7f4cdedb60097852d498e5a74956f12349af6e73c756d71a53f6a4407f111be5/mounts/shm
tmpfs tmpfs 3.9G 12K 3.9G 1% /var/lib/kubelet/pods/af41273f-6501-11e8-b3b3-080027c88a00/volumes/kubernetes.io~secret/heapster-token-8hb47
/dev/dm-26 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/49107fde39ed85ce6050fd39a5e3853305664cf329142246c29a85ab7bc2325b
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/cd3628e39c0d552b3fb25730d9b002e986f819c50c6f670a7b7824a93c6a7e30/mounts/shm
/dev/dm-27 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/8126f57eaefc397d3893af9c6156285d2875c0aeaa4c1a5fabaf7cebc968f4ad
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/bcb84cc22f666faa979c159d7619390024862c4e6eab6c2efa24ae24bf73dd74/mounts/shm
/dev/dm-29 xfs 10G 45M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/ea3d9c5f2d51ad262a3b4dbf7b45cae2be4605b1f01554867b73a0c3aade3324
/dev/dm-30 xfs 10G 189M 9.9G 2% /opt/csap/dockerStorage/devicemapper/mnt/b6a87170a21070e671b67c7a40f186d5bb9855162309a3d38fea70b529c73d89
/dev/dm-28 xfs 10G 132M 9.9G 2% /opt/csap/dockerStorage/devicemapper/mnt/2803bd701d48e7af7c064aa9fad73aeeda650722896ce043f443f4f4f864dca4
/dev/dm-31 xfs 10G 103M 9.9G 2% /opt/csap/dockerStorage/devicemapper/mnt/02aa43b801c660e475de394808640dfb7f5ea4d09a168695d2380b14bc2dc29a
tmpfs tmpfs 3.9G 12K 3.9G 1% /var/lib/kubelet/pods/9a7c4b36-6501-11e8-b3b3-080027c88a00/volumes/kubernetes.io~secret/nginx-ingress-serviceaccount-token-wzljj
/dev/dm-32 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/7853ff7c5dc56fb0cdf47fafd369456a979de228c51b4ddccc35182f7f7d990b
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/198312860b86a9c1263d0f22cbb117c752c4d5cf4f94fdf54dd06d9624b8a7a6/mounts/shm
tmpfs tmpfs 3.9G 12K 3.9G 1% /var/lib/kubelet/pods/9b0e5686-6501-11e8-b3b3-080027c88a00/volumes/kubernetes.io~secret/default-token-td28z
/dev/dm-34 xfs 10G 297M 9.7G 3% /opt/csap/dockerStorage/devicemapper/mnt/c6e2905802053f90ea41588ad535f256305aafd23165e2e67177a4026d621895
/dev/dm-33 xfs 10G 34M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/e427aa5ce614c6e2d2061214aa082bb894222036c5e8ebb52329d9354df42a64
shm tmpfs 64M 0 64M 0% /opt/csap/dockerStorage/containers/68d985b552d1e0dcefdadcf92da97d50667a4947b3671786dec14056d2b9eff1/mounts/shm
/dev/dm-35 xfs 10G 38M 10G 1% /opt/csap/dockerStorage/devicemapper/mnt/e2edbc7284a0bc936541aa06c5484165f0a6872de2051418b847302ff1a24ea0
